FirstLastName,ListofAlexIds,Team,ReferencedIndividuals
Pietro Camilli,A5037459294,De Camilli,"['Pietro Camilli', 'Pietro Camilli', 'Pietro Camilli', 'Karin Reinisch', 'Dario Alessi', 'Suzanne Pfeffer', 'Samara Reck‐Peterson', 'Pietro Camilli', 'Suzanne Pfeffer', 'Pietro Camilli', 'Pietro Camilli', 'Sreeganga Chandra', 'Pietro Camilli', 'Pietro Camilli', 'Karin Reinisch', 'Timothy Ryan', 'Pietro Camilli', 'Karin Reinisch', 'Pietro Camilli', 'Karin Reinisch', 'Pietro Camilli', 'Monther Abu-Remaileh', 'J. Harper', 'Pietro Camilli', 'J. Harper', 'Karin Reinisch', 'Suzanne Pfeffer', 'Shawn Ferguson', 'James Hurley']"
Shawn Ferguson,A5091271525,De Camilli,"['Erika Holzbaur', 'J. Harper', 'Pietro Camilli', 'Suzanne Pfeffer', 'James Hurley', 'Suzanne Pfeffer', 'Dario Alessi', 'Pietro Camilli', 'Pietro Camilli', 'Sreeganga Chandra', 'Pietro Camilli', 'Dario Alessi', 'Suzanne Pfeffer', 'Patrick Lewis', 'Pietro Camilli', 'J. Harper', 'Karin Reinisch', 'Suzanne Pfeffer', 'Shawn Ferguson', 'James Hurley']"
Timothy Ryan,A5051928889,De Camilli,"['Timothy Ryan', 'Timothy Ryan']"
Kallol Gupta,A5038262390,De Camilli,[]
Michael Kaplitt,A5027250646,Kaplitt,"['Timothy Ryan', 'Amy Amara', 'Anthony Schapira', 'Subhojit Roy']"
Samantha Gruenheid,A5007887366,Desjardins,"['David Sulzer', 'Rajeshwar Awatramani', 'Peter Sims', 'Michel Desjardins', 'Heidi McBride', 'Peter Sims', 'Cecilia Arlehamn', 'Samantha Gruenheid', 'Louis‐Éric Trudeau']"
Louis‐Éric Trudeau,A5024580674,Desjardins,"['David Sulzer', 'Rajeshwar Awatramani', 'David Sulzer', 'Alessandro Sette', 'Michel Desjardins', 'Ashley Harms', 'Heidi McBride', 'Michel Desjardins', 'Heidi McBride', 'Peter Sims', 'Cecilia Arlehamn', 'Samantha Gruenheid', 'Louis‐Éric Trudeau']"
Heidi McBride,A5074688125,Desjardins,"['J. Harper', 'Shawn Ferguson', 'Peter Sims', 'Michel Desjardins', 'Heidi McBride', 'Peter Sims', 'Cecilia Arlehamn', 'Samantha Gruenheid', 'Louis‐Éric Trudeau']"
Michel Desjardins,A5086104642,Desjardins,"['J. Harper', 'Shawn Ferguson', 'Peter Sims']"
Ken Nakamura,A5081058318,Edwards,"['Alexandra Nelson', 'Donato Monte', 'D. Surmeier', 'Daniel Dombeck', 'Ken Nakamura', 'Donato Monte']"
Robert Edwards,A5027616900,Edwards,['Robert Edwards']
Talia Lerner,A5042504580,Edwards,"['Rajeshwar Awatramani', 'Richard Wade‐Martins', 'Louis‐Éric Trudeau', 'Daniel Dombeck']"
Glenda Halliday,A5047141421,Kirik,"['Donato Monte', 'Rubén Fernández‐Busnadiego', 'Vikram Khurana', 'Lorenz Studer']"
Glenda Halliday,A5047141421,Vila,"['Donato Monte', 'Rubén Fernández‐Busnadiego', 'Vikram Khurana', 'Lorenz Studer']"
Zayd Khaliq,A5050910385,Edwards,"['Daniel Dombeck', 'Christopher Ford']"
Anthony Schapira,A5059770430,Schapira,"['Anthony Schapira', 'Patrick Lewis', 'Dario Alessi', 'Anthony Schapira', 'Anthony Schapira', 'Anthony Schapira', 'Anthony Schapira', 'Fabio Blandini', 'Donato Monte', 'Ellen Sidransky', 'Anthony Schapira', 'Sonia Gandhi', 'Donato Monte', 'Anthony Schapira', 'Anthony Schapira', 'Donato Monte', 'Anthony Schapira', 'Haydeh Payami', 'Anthony Schapira', 'Donato Monte', 'Donato Monte', 'Michela Deleidi', 'Rodger Liddle']"
Ellen Sidransky,A5009140419,Vangheluwe,"['Huw Morris', 'Donato Monte', 'Peter Vangheluwe', 'Pietro Camilli', 'Ellen Sidransky', 'Anthony Schapira']"
Brit Mollenhauer,A5082185657,Schlossmacher,"['Amy Amara', 'Brit Mollenhauer', 'Brit Mollenhauer', 'Anthony Schapira', 'Le Zhang', 'Maxime Rousseaux', 'Michael Schlossmacher']"
John Hardy,A5020514779,Hardy,"['Huw Morris', 'Huw Morris', 'Huw Morris', 'Mina Ryten', 'Hélène Plun‐Favreau', 'Mina Ryten', 'Sonia Gandhi', 'Michele Vendruscolo']"
Nicholas Wood,A5064529704,Wood,"['Anthony Schapira', 'Patrick Lewis', 'Dario Alessi', 'Huw Morris', 'Mina Ryten', 'Steven Lee', 'Mina Ryten', 'Sonia Gandhi', 'Michele Vendruscolo', 'Huw Morris', 'Mina Ryten']"
Mina Ryten,A5042439287,Hardy,"['Dario Alessi', 'Mina Ryten', 'Hélène Plun‐Favreau', 'Huw Morris', 'Huw Morris', 'Mina Ryten', 'Steven Lee', 'Mina Ryten', 'Sonia Gandhi', 'Sonia Gandhi', 'Mina Ryten', 'Sonia Gandhi', 'Michele Vendruscolo', 'Huw Morris', 'Mina Ryten']"
Mina Ryten,A5042439287,Wood,"['Dario Alessi', 'Mina Ryten', 'Hélène Plun‐Favreau', 'Huw Morris', 'Huw Morris', 'Mina Ryten', 'Steven Lee', 'Mina Ryten', 'Sonia Gandhi', 'Sonia Gandhi', 'Mina Ryten', 'Sonia Gandhi', 'Michele Vendruscolo', 'Huw Morris', 'Mina Ryten']"
Andrew West,A5071278272,Liddle,"['Dario Alessi', 'Brit Mollenhauer', 'Andrew West', 'Donato Monte']"
Sarkis Mazmanian,A5053569958,Gradinaru,"['Sarkis Mazmanian', 'Haydeh Payami']"
Sarkis Mazmanian,A5053569958,Sulzer,"['Sarkis Mazmanian', 'Haydeh Payami']"
Viviana Gradinaru,A5050240445,Gradinaru,"['Viviana Gradinaru', 'Andrew Fox']"
Andrew Fox,A5101580701,Gradinaru,"['Viviana Gradinaru', 'Andrew Fox']"
Noah Palm,A5022058492,Hafler,[]
David Sulzer,A5026787858,Sulzer,"['Pietro Camilli', 'David Sulzer', 'Peter Sims', 'Alessandro Sette', 'Peter Sims', 'Peter Sims', 'Le Zhang', 'Alessandro Sette', 'Ashley Harms', 'David Sulzer', 'Alessandro Sette']"
Sreeganga Chandra,A5059606057,Hafler,"['Pietro Camilli', 'Le Zhang']"
David Hafler,A5004216670,Hafler,['David Hafler']
Sonia Gandhi,A5101470156,Wood,"['Huw Morris', 'Mina Ryten', 'Steven Lee', 'Mina Ryten', 'Sonia Gandhi', 'Sonia Gandhi', 'Mina Ryten', 'Sonia Gandhi', 'Michele Vendruscolo', 'Huw Morris', 'Mina Ryten']"
Roger Barker,A5084748006,Jakobsson,"['Huw Morris', 'Mina Ryten']"
Clemens Scherzer,A5008377476,Scherzer,"['Huw Morris', 'Hélène Plun‐Favreau', 'David Sulzer', 'Clemens Scherzer', 'Vikram Khurana', 'Mina Ryten', 'Jeffrey Kordower']"
Frances Platt,A5078895245,Hardy,['Mina Ryten']
Johan Jakobsson,A5021760406,Jakobsson,['Mina Ryten']
