FirstLastName,ListofAlexIds,Team,ReferencedIndividuals
Glenda Halliday,A5047141421,Team Kirik,"['Donato Monte', 'Lorenz Studer', 'Rubén Fernández‐Busnadiego', 'Vikram Khurana']"
Glenda Halliday,A5047141421,Team Vila,"['Donato Monte', 'Lorenz Studer', 'Rubén Fernández‐Busnadiego', 'Vikram Khurana']"
Zayd Khaliq,A5050910385,Team Edwards,"['Christopher Ford', 'Daniel Dombeck']"
Anthony Schapira,A5059770430,Team Schapira,"['Anthony Schapira', 'Dario Alessi', 'Donato Monte', 'Ellen Sidransky', 'Fabio Blandini', 'Haydeh Payami', 'Michela Deleidi', 'Patrick Lewis', 'Rodger Liddle', 'Sonia Gandhi']"
Ellen Sidransky,A5009140419,Team Vangheluwe,"['Anthony Schapira', 'Donato Monte', 'Ellen Sidransky', 'Huw Morris', 'Peter Vangheluwe', 'Pietro Camilli']"
Brit Mollenhauer,A5082185657,Team Schlossmacher,"['Amy Amara', 'Anthony Schapira', 'Brit Mollenhauer', 'Le Zhang', 'Maxime Rousseaux', 'Michael Schlossmacher']"
John Hardy,A5020514779,Team Hardy,"['Huw Morris', 'Hélène Plun‐Favreau', 'Michele Vendruscolo', 'Mina Ryten', 'Sonia Gandhi']"
Nicholas Wood,A5064529704,Team Wood,"['Anthony Schapira', 'Dario Alessi', 'Huw Morris', 'Michele Vendruscolo', 'Mina Ryten', 'Patrick Lewis', 'Sonia Gandhi', 'Steven Lee']"
Mina Ryten,A5042439287,Team Hardy,"['Dario Alessi', 'Huw Morris', 'Hélène Plun‐Favreau', 'Michele Vendruscolo', 'Mina Ryten', 'Sonia Gandhi', 'Steven Lee']"
Mina Ryten,A5042439287,Team Wood,"['Dario Alessi', 'Huw Morris', 'Hélène Plun‐Favreau', 'Michele Vendruscolo', 'Mina Ryten', 'Sonia Gandhi', 'Steven Lee']"
Andrew West,A5071278272,Team Liddle,"['Andrew West', 'Brit Mollenhauer', 'Dario Alessi', 'Donato Monte']"
Sarkis Mazmanian,A5053569958,Team Gradinaru,"['Haydeh Payami', 'Sarkis Mazmanian']"
Sarkis Mazmanian,A5053569958,Team Sulzer,"['Haydeh Payami', 'Sarkis Mazmanian']"
Viviana Gradinaru,A5050240445,Team Gradinaru,"['Andrew Fox', 'Viviana Gradinaru']"
Andrew Fox,A5101580701,Team Gradinaru,"['Andrew Fox', 'Viviana Gradinaru']"
Noah Palm,A5022058492,Team Hafler,[]
David Sulzer,A5026787858,Team Sulzer,"['Alessandro Sette', 'Ashley Harms', 'David Sulzer', 'Le Zhang', 'Peter Sims', 'Pietro Camilli']"
Sreeganga Chandra,A5059606057,Team Hafler,"['Le Zhang', 'Pietro Camilli']"
David Hafler,A5004216670,Team Hafler,['David Hafler']
Sonia Gandhi,A5101470156,Team Wood,"['Huw Morris', 'Michele Vendruscolo', 'Mina Ryten', 'Sonia Gandhi', 'Steven Lee']"
Roger Barker,A5084748006,Team Jakobsson,"['Huw Morris', 'Mina Ryten']"
Clemens Scherzer,A5008377476,Team Scherzer,"['Clemens Scherzer', 'David Sulzer', 'Huw Morris', 'Hélène Plun‐Favreau', 'Jeffrey Kordower', 'Mina Ryten', 'Vikram Khurana']"
Frances Platt,A5078895245,Team Hardy,['Mina Ryten']
Johan Jakobsson,A5021760406,Team Jakobsson,['Mina Ryten']
Donald Rio,A5034073565,Team Rio,"['Dario Alessi', 'Frank Soldner', 'Fritz Sedlazeck', 'John Hardy', 'Lorenz Studer', 'Pietro Camilli', 'Suzanne Pfeffer', 'Vikram Khurana']"
Maria Spillantini,A5037609259,Team Hardy,"['Anthony Schapira', 'Brit Mollenhauer', 'Huw Morris', 'Hélène Plun‐Favreau', 'John Hardy', 'Peter Vangheluwe']"
F. Hartl,A5086048712,Team Harper,"['Brenda Schulman', 'F. Hartl', 'Rubén Fernández‐Busnadiego']"
Michele Vendruscolo,A5038452125,Team Wood,"['Michele Vendruscolo', 'Mina Ryten', 'Sonia Gandhi', 'Steven Lee']"
Brenda Schulman,A5023564164,Team Harper,"['Brenda Schulman', 'J. Harper', 'James Hurley', 'Miratul Muqit']"
Judith Frydman,A5041204065,Team Harper,['J. Harper']
Erika Holzbaur,A5075390520,Team Hurley,"['Dario Alessi', 'Erika Holzbaur', 'J. Harper', 'James Hurley', 'Michael Lazarou', 'Miratul Muqit', 'Sascha Martens', 'Suzanne Pfeffer']"
Sascha Martens,A5029002091,Team Hurley,"['Brenda Schulman', 'Erika Holzbaur', 'J. Harper', 'James Hurley', 'Michael Lazarou', 'Miratul Muqit', 'Sascha Martens']"
Michael Lazarou,A5061877082,Team Hurley,"['Erika Holzbaur', 'J. Harper', 'James Hurley', 'Michael Lazarou', 'Miratul Muqit', 'Pietro Camilli', 'Sascha Martens', 'Suzanne Pfeffer']"
James Hurley,A5061450716,Team Hurley,"['Brenda Schulman', 'J. Harper', 'James Hurley', 'Michael Lazarou', 'Miratul Muqit', 'Sascha Martens', 'Suzanne Pfeffer']"
Molly Hammell,A5032075946,Team Jakobsson,[]
